model,best_val_acc,test_acc,test_macro_f1,training_time_min
ResNet-50,0.8485193621867881,0.8657565415244596,0.8562391857004235,78.63
ConvNeXt-Tiny,0.8507972665148064,0.850967007963595,0.84024381509865,93.69
