epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
1,0.606279193089921,0.7445718467919005,0.47013794661314995,0.8097949886104784,0.0001
2,0.4555690985870059,0.801658941205172,0.4327695247269573,0.8234624145785877,0.0001
3,0.41868623492775325,0.8221517443278848,0.45567894629934685,0.8097949886104784,0.0001
4,0.36619773801578837,0.8404488899731641,0.445563789005211,0.8097949886104784,0.0001
5,0.31853489017568004,0.8572822639668212,0.47068133068447066,0.8086560364464692,0.0001
6,0.30012400484311924,0.8707001707733594,0.466661600898824,0.8200455580865603,0.0001
7,0.27733830818972316,0.8797267626250305,0.44144881398529495,0.826879271070615,0.0001
8,0.23964243229350451,0.8924127836057575,0.5733797555372484,0.7961275626423691,0.0001
9,0.21500794897430786,0.9094901195413515,0.49167410444663434,0.8234624145785877,0.0001
10,0.19542681509740223,0.9185167113930227,0.5480901338584331,0.8041002277904328,0.0001
11,0.17155204616645162,0.9272993413027568,0.5840692373914411,0.8211845102505695,0.0001
12,0.14867645548622502,0.9414491339351061,0.5598161834035417,0.8337129840546698,0.0001
13,0.14440809012188233,0.940961210051232,0.520478219935548,0.835990888382688,0.0001
14,0.12982356265481723,0.9485240302512808,0.5606667953629384,0.8314350797266514,0.0001
15,0.11737593620557499,0.9524274213222738,0.565022496773611,0.8325740318906606,5e-05
16,0.08766575716208702,0.9658453281288119,0.5896332164038188,0.8394077448747153,5e-05
17,0.0674057032374034,0.9726762625030495,0.6324612996517097,0.8462414578587699,5e-05
18,0.07207349860310468,0.9731641863869236,0.6785112290325201,0.8428246013667426,5e-05
19,0.05865857149441378,0.9751158819224202,0.741223578285418,0.8211845102505695,5e-05
20,0.050319871127925346,0.9807270065869724,0.7240170276693919,0.8530751708428246,5e-05
21,0.05167362945407418,0.9799951207611612,0.6908016615518948,0.8257403189066059,5e-05
22,0.04825750796229309,0.9797511588192243,0.7288125688202941,0.8405466970387244,5e-05
23,0.03961976240326851,0.9858502073676506,0.7229690441974054,0.8348519362186788,2.5e-05
24,0.043408202180779155,0.9853622834837765,0.7765252752760137,0.837129840546697,2.5e-05
25,0.028818532139486396,0.9895096364967065,0.7746682466105357,0.837129840546697,2.5e-05
26,0.029898601800665007,0.991461332032203,0.7784777661739872,0.837129840546697,2.5e-05
27,0.0337756675336679,0.9892656745547694,0.8022474722825638,0.8337129840546698,2.5e-05
28,0.023706025390765606,0.9919492559160771,0.7487415350361664,0.8462414578587699,2.5e-05
29,0.025022042518691553,0.9909734081483289,0.8109404019147625,0.8473804100227791,2.5e-05
30,0.027353944073772687,0.9897535984386435,0.7910797228301933,0.8473804100227791,2.5e-05
