epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
1,0.75838987939705,0.7196877287143205,0.6701368128791757,0.8018223234624146,7e-05
2,0.6636087516948461,0.7797023664308368,0.7462191058997413,0.7403189066059226,7e-05
3,0.6303576445631878,0.8084898755794097,0.6706992223485456,0.7927107061503417,7e-05
4,0.6123841861510574,0.8177604293730178,0.6508589871652034,0.8211845102505695,7e-05
5,0.5829359247542556,0.8370334227860454,0.6597816033759801,0.8154897494305239,7e-05
6,0.5598282908834926,0.848011710173213,0.6387993376999075,0.8189066059225513,7e-05
7,0.5538073224421098,0.8526469870700171,0.6731230763205092,0.8018223234624146,7e-05
8,0.5257612526867558,0.8724079043669187,0.6674532985361399,0.8154897494305239,7e-05
9,0.5035352472213165,0.8882654305928275,0.645836108909381,0.8246013667425968,7e-05
10,0.48888482661269356,0.8997316418638692,0.6628986483011268,0.8257403189066059,7e-05
11,0.47855187635155355,0.902659185167114,0.6682770598450662,0.7927107061503417,7e-05
12,0.46929259554994895,0.9099780434252257,0.6356064580839152,0.826879271070615,7e-05
13,0.46122145412840126,0.9116857770187851,0.7060543534288646,0.7835990888382688,7e-05
14,0.4395395222161566,0.928275189070505,0.6715414984351139,0.8223234624145785,7e-05
15,0.4334669005699232,0.9302268846060014,0.6522309717664958,0.826879271070615,7e-05
16,0.428808037028949,0.936569895096365,0.6504225527235479,0.8246013667425968,7e-05
17,0.40987312572704465,0.9480361063674067,0.6394764740266127,0.835990888382688,7e-05
18,0.4091124208446362,0.9465723347157844,0.6885704373715951,0.8200455580865603,7e-05
19,0.40417890215420266,0.9512076116125885,0.7222814473720238,0.816628701594533,7e-05
20,0.39606881458662174,0.9543791168577702,0.7047678338096462,0.8211845102505695,7e-05
21,0.39614015006239633,0.953891192973896,0.7138089918465712,0.8325740318906606,7e-05
22,0.3831078389354612,0.9612100512320078,0.7288158345874187,0.8177676537585421,3.5e-05
23,0.3769792334194095,0.9638936325933154,0.6959936579430565,0.8234624145785877,3.5e-05
24,0.3570929816304896,0.9765796535740424,0.7233002715338879,0.8223234624145785,3.5e-05
25,0.34935999890890723,0.9826787021224689,0.7021468052288394,0.837129840546697,3.5e-05
26,0.3513709847361147,0.9812149304708465,0.7104600490089973,0.835990888382688,3.5e-05
27,0.3444307114938958,0.9834105879482801,0.708919057270389,0.835990888382688,3.5e-05
28,0.3441795209146878,0.9851183215418394,0.6821633781007319,0.8439635535307517,3.5e-05
29,0.3436709766956212,0.9843864357160284,0.7077089271132658,0.8416856492027335,3.5e-05
30,0.35267749880982424,0.9809709685289095,0.7051481256995494,0.8394077448747153,3.5e-05
31,0.3442357119975308,0.9843864357160284,0.6897331897109951,0.8246013667425968,3.5e-05
32,0.3486118026406744,0.9821907782385948,0.7028304876118966,0.835990888382688,3.5e-05
33,0.34171304110347656,0.9860941693095877,0.7204630239134769,0.8348519362186788,1.75e-05
34,0.33734972192968327,0.9882898267870213,0.7039990870447528,0.8439635535307517,1.75e-05
35,0.3360754022309768,0.9895096364967065,0.7148076238827716,0.8246013667425968,1.75e-05
36,0.3327072659885921,0.9892656745547694,0.7214744012285202,0.8348519362186788,1.75e-05
37,0.3325628060324944,0.9912173700902659,0.690448560584379,0.8416856492027335,1.75e-05
38,0.32913678812526964,0.9929251036838254,0.7190886516641647,0.8405466970387244,8.75e-06
