epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.5948661140594055,0.7460356184435228,0.47998370399915,0.7938496583143508
2,0.4476148785542034,0.8092217614052208,0.42279752230182593,0.8200455580865603
3,0.3989955839601253,0.8294706025859966,0.44544641285867415,0.8041002277904328
4,0.36429058564279276,0.8470358624054648,0.45935292447257386,0.7984054669703873
5,0.30584876677355377,0.8785069529153452,0.4502845870029682,0.8029612756264237
6,0.27893726624299414,0.8814344962185899,0.43229647644144187,0.8325740318906606
7,0.239721312686332,0.8977799463283728,0.45230446102846505,0.8302961275626424
8,0.21011655639369012,0.9107099292510369,0.46788743076896916,0.835990888382688
9,0.19427676572686842,0.9177848255672115,0.5285161565607392,0.8120728929384966
10,0.16620215942988195,0.9304708465479385,0.46891438493193266,0.8428246013667426
11,0.13658630278276856,0.9441327152964137,0.5518705350339438,0.8223234624145785
12,0.14593949983089347,0.9370578189802391,0.4990293511729433,0.857630979498861
13,0.11627678134803308,0.9543791168577702,0.5424305193199392,0.837129840546697
14,0.10758508753852165,0.9570626982190779,0.5550343699908151,0.8132118451025057
15,0.10869188100884791,0.9573066601610148,0.5964599085954742,0.8382687927107062
16,0.08552560808186363,0.9641375945352525,0.6885543103517587,0.8325740318906606
17,0.06376165505857635,0.9756038058062942,0.6394389259662364,0.8348519362186788
18,0.04869948237203743,0.9824347401805318,0.6001670045202974,0.8473804100227791
19,0.04255457557342487,0.983166626006343,0.6783826969957625,0.8439635535307517
