epoch,train_loss,train_acc,valid_loss,valid_acc
1,0.7153565306639084,0.7438399609660893,0.6605478445055273,0.8120728929384966
2,0.6415130034485338,0.7921444254696267,0.6829426977656153,0.7881548974943052
3,0.6098417652819499,0.8138570383020249,0.6950041725043555,0.7380410022779044
4,0.5847603140531095,0.8316662600634301,0.6517134717493774,0.8109339407744874
5,0.5771055594250236,0.8336179555989266,0.6724135597365863,0.8029612756264237
6,0.5499733114539196,0.8543547206635764,0.6466686179806268,0.8291571753986332
7,0.5442356780320442,0.8624054647474994,0.6422212303092105,0.8200455580865603
8,0.5158064662319591,0.8746035618443523,0.6119772232474933,0.8337129840546698
9,0.5047080976755394,0.8814344962185899,0.6503111737735722,0.8382687927107062
10,0.4800795447422138,0.8992437179799951,0.6410692176677643,0.8485193621867881
11,0.47338300262843436,0.9033910709929251,0.7915888618771199,0.765375854214123
12,0.45959614576087054,0.9102220053671627,0.6488652525295701,0.8348519362186788
13,0.4557890497088054,0.9129055867284703,0.6538620965898987,0.8314350797266514
14,0.44074899467150447,0.9285191510124421,0.7462266220590248,0.8052391799544419
15,0.40808000883610546,0.945352525006099,0.6595370526465848,0.8280182232346242
16,0.3843398921720631,0.957794584044889,0.6879486316700459,0.8246013667425968
17,0.36896600551534264,0.9721883386191754,0.6852791847020455,0.8280182232346242
18,0.3617556745481363,0.9734081483288607,0.7044823099105939,0.8405466970387244
19,0.3556527213792622,0.9775555013417907,0.6913634140833635,0.8485193621867881
20,0.3587009082424492,0.9741400341546719,0.6819201479740187,0.8507972665148064
21,0.3496839143017729,0.982922664064406,0.6762142049696016,0.8439635535307517
22,0.34389638814963375,0.9853622834837765,0.7130407077304867,0.8246013667425968
23,0.3511791335980931,0.9777994632837277,0.7356524539428311,0.8416856492027335
24,0.3510389553537948,0.9773115393998536,0.7197834619221221,0.8496583143507973
25,0.3437702255689333,0.9819468162966577,0.7009068363619828,0.837129840546697
26,0.3309590654071874,0.9912173700902659,0.6885440037299397,0.8485193621867881
27,0.3304090507148562,0.9921932178580142,0.6913175726805841,0.8439635535307517
28,0.3273225811653877,0.9936569895096365,0.6923372700029734,0.8496583143507973
29,0.32864317844687047,0.9919492559160771,0.6832268414573409,0.8496583143507973
30,0.32778245525465965,0.9931690656257623,0.7006609005374083,0.837129840546697
