epoch,train_loss,train_acc,valid_loss,valid_acc
1,0.7530841346367536,0.7348133691144182,0.6758226237698948,0.8086560364464692
2,0.6618577414066159,0.7948280068309344,0.7572342789390364,0.7414578587699316
3,0.6339692710579591,0.8031227128567944,0.710563739774439,0.7938496583143508
4,0.6141461909733391,0.8177604293730178,0.6616776958956534,0.8189066059225513
5,0.5934457922889187,0.8260551353988778,0.7667186051810793,0.7585421412300684
6,0.5807111297156293,0.835325689192486,0.657017206005192,0.8097949886104784
7,0.5629524737196627,0.8526469870700171,0.6788341893150486,0.8189066059225513
8,0.5458651588992044,0.8587460356184435,0.670074950793338,0.8052391799544419
9,0.5345872594804757,0.8626494266894364,0.6624964086640126,0.8234624145785877
10,0.5236335785600086,0.869236399121737,0.6555197648958627,0.8302961275626424
11,0.5066244421891685,0.8882654305928275,0.6729404839404894,0.8132118451025057
12,0.4971466009487144,0.8897292022444498,0.6384459594116124,0.8302961275626424
13,0.4886941902810232,0.8980239082703099,0.675660369064922,0.8337129840546698
14,0.4733314510961078,0.9043669187606733,0.7078190218479052,0.8109339407744874
15,0.47402768889471625,0.9033910709929251,0.6530876513358401,0.8291571753986332
16,0.4513724752463024,0.9236399121737009,0.7160540434928582,0.8234624145785877
17,0.4539397248744267,0.9190046352768968,0.7113513215391946,0.8189066059225513
18,0.43907367027105426,0.9343742376189315,0.7487616583806779,0.8132118451025057
19,0.4021271210846362,0.9565747743352037,0.6913770521420282,0.8223234624145785
20,0.3904432391620142,0.9609660892900708,0.6914390407010471,0.8211845102505695
21,0.381751983681665,0.9680409856062454,0.6826134453058786,0.8473804100227791
22,0.3776265720124069,0.9709685289094901,0.6758266368325044,0.8416856492027335
23,0.3746205502732494,0.9734081483288607,0.6461475856754937,0.8485193621867881
24,0.36644948639064684,0.9775555013417907,0.6789396428980425,0.8337129840546698
25,0.3605430547596042,0.9802390827030983,0.7831020470632236,0.8154897494305239
26,0.3661033868367976,0.9760917296901683,0.6665868069424987,0.8302961275626424
27,0.3592847818919989,0.9809709685289095,0.6913456616749253,0.8132118451025057
28,0.35668407908065286,0.9821907782385948,0.6994777370694015,0.8348519362186788
29,0.35053893375553774,0.9865820931934618,0.6815965296467236,0.8416856492027335
30,0.342566595306685,0.9909734081483289,0.6701882211385393,0.8337129840546698
31,0.3446242165844683,0.9885337887289583,0.6795339497455432,0.8416856492027335
32,0.3388020303313922,0.9929251036838254,0.6705380630656093,0.8439635535307517
33,0.33934551449076783,0.9919492559160771,0.6812890456450555,0.8394077448747153
