epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
1,0.6074056809604037,0.7382288363015369,0.491016251860284,0.7972665148063781,0.0001
2,0.46395484901006756,0.7919004635276897,0.47442146524753004,0.8234624145785877,0.0001
3,0.4296201342895398,0.8133691144181507,0.4528079323045239,0.8143507972665148,0.0001
4,0.40016984206695444,0.8262990973408149,0.4634823612386153,0.806378132118451,0.0001
5,0.3629753127944967,0.8414247377409124,0.4781489914568493,0.7915717539863326,0.0001
6,0.3399827588939411,0.8533788728958283,0.4554536547808821,0.816628701594533,0.0001
7,0.3104376989723735,0.8677726274701146,0.4785945445282177,0.8189066059225513,0.0001
8,0.28079646754538207,0.8753354476701635,0.5447876772457195,0.8234624145785877,5e-05
9,0.24238264341853427,0.8982678702122469,0.4846961138091646,0.8302961275626424,5e-05
10,0.20780017071161133,0.9104659673090998,0.5640641671068678,0.8189066059225513,5e-05
11,0.18550013147647146,0.924127836057575,0.5019365911221382,0.8314350797266514,5e-05
12,0.16141995829244915,0.9314466943156867,0.6743404023945416,0.8041002277904328,5e-05
13,0.15812622114314367,0.9329104659673091,0.5309809093601717,0.8200455580865603,2.5e-05
14,0.11392440670698147,0.9560868504513296,0.549022794778062,0.8200455580865603,2.5e-05
15,0.1008604576156383,0.9595023176384484,0.613799667956439,0.8223234624145785,2.5e-05
16,0.08940793720541364,0.9624298609416931,0.6072963160401155,0.8211845102505695,2.5e-05
17,0.08201974661256023,0.9656013661868749,0.6479672198215657,0.8325740318906606,2.5e-05
18,0.0730107306387111,0.9724323005611125,0.7234178458615991,0.8177676537585421,1.25e-05
19,0.06531725800794984,0.974627958038546,0.6770439953191878,0.8257403189066059,1.25e-05
20,0.05414797369800608,0.9817028543547207,0.6552750871706104,0.8246013667425968,1.25e-05
21,0.05414070761925013,0.9804830446450353,0.6792935753073586,0.8280182232346242,1.25e-05
22,0.046183859160800235,0.9804830446450353,0.7201800246803611,0.8337129840546698,1.25e-05
23,0.0416847161783274,0.9851183215418394,0.7507931524976518,0.8314350797266514,6.25e-06
24,0.03898661972777193,0.9865820931934618,0.7292461507125803,0.8280182232346242,6.25e-06
25,0.042940048143519774,0.9860941693095877,0.7301304006287701,0.8405466970387244,6.25e-06
26,0.03695863008291932,0.9860941693095877,0.7288877849747132,0.8348519362186788,6.25e-06
27,0.04372320626231847,0.9834105879482801,0.7227864400878791,0.8314350797266514,6.25e-06
28,0.041137902676390274,0.9856062454257136,0.7105329702385533,0.8394077448747153,3.125e-06
29,0.03669880197010162,0.9890217126128324,0.7186346465094834,0.837129840546697,3.125e-06
30,0.03876509876464178,0.9875579409612101,0.7274897002656403,0.8348519362186788,3.125e-06
