,precision,recall,f1-score,support
BACTERIA,0.8758949880668258,0.8800959232613909,0.8779904306220095,417.0
NORMAL,0.9215686274509803,0.9873949579831933,0.9533468559837728,238.0
VIRUS,0.7902439024390244,0.7232142857142857,0.7552447552447552,224.0
accuracy,0.8691695108077361,0.8691695108077361,0.8691695108077361,0.8691695108077361
macro avg,0.8625691726522767,0.8635683889862898,0.862194013950179,879.0
weighted avg,0.8664347866934484,0.8691695108077361,0.8671142053109682,879.0
