epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
1,0.5764987110422716,0.7518907050500122,0.5175648761365843,0.8018223234624146,0.0001
2,0.44151932017109285,0.8119053427665284,0.46259195977028517,0.8018223234624146,0.0001
3,0.40862007833568315,0.8275189070505001,0.4852146293038761,0.7779043280182233,0.0001
4,0.3726582636801782,0.8384971944376677,0.5022710342902121,0.7824601366742597,0.0001
5,0.3418692098896397,0.85240302512808,0.3926477652883204,0.8337129840546698,5e-05
6,0.2584070969817405,0.8938765552573799,0.44088226710159784,0.8314350797266514,5e-05
7,0.19603960363798265,0.9212002927543304,0.4027476536077161,0.837129840546697,5e-05
8,0.1838316624594712,0.9272993413027568,0.42309554104663005,0.8462414578587699,5e-05
9,0.14232530886369613,0.9373017809221761,0.4932922849552027,0.8405466970387244,2.5e-05
10,0.10533998355498457,0.9595023176384484,0.4720326696330541,0.8542141230068337,2.5e-05
11,0.08143596651242052,0.9680409856062454,0.5212096056047294,0.8473804100227791,2.5e-05
12,0.06604713053679061,0.974383996096609,0.540736294229998,0.8405466970387244,2.5e-05
13,0.06291412918133359,0.9773115393998536,0.5765210014056193,0.8394077448747153,2.5e-05
14,0.06222994657843182,0.9751158819224202,0.5800591535379119,0.8428246013667426,2.5e-05
15,0.046948059612876486,0.9807270065869724,0.6057060287188307,0.8439635535307517,2.5e-05
16,0.04637145312206986,0.9824347401805318,0.6182368791100035,0.8291571753986332,2.5e-05
17,0.04624918436940108,0.983166626006343,0.6190459784744164,0.8553530751708428,2.5e-05
18,0.04169466342388432,0.9846303976579653,0.655921602648657,0.8439635535307517,2.5e-05
19,0.02920420590369383,0.9880458648450842,0.6947114747291423,0.8542141230068337,2.5e-05
20,0.025882504303987065,0.9934130275676994,0.7167006704599639,0.8428246013667426,2.5e-05
21,0.03294209171740112,0.9885337887289583,0.7784077743774752,0.8405466970387244,2.5e-05
22,0.03012434403891235,0.9887777506708954,0.7454980399876534,0.8428246013667426,2.5e-05
23,0.025265465945431543,0.9921932178580142,0.7817662074965914,0.8314350797266514,2.5e-05
24,0.02302475073627008,0.9907294462063918,0.792371611653911,0.8337129840546698,2.5e-05
